payment_id,customer_id,amount,failure_reason,payment_method,retry_count,customer_lifetime_value,previous_success_rate,previous_recovery_rate,hour,day_of_week,recovered
PAY_000001,CUS_0285,16256.71,expired_method,card,1,237779.02,0.939,0.8334,16,1,0
PAY_000002,CUS_0301,53659.85,expired_method,netbanking,0,306650.48,0.9175,0.656,22,3,1
PAY_000003,CUS_0719,43698.71,expired_method,card,2,22297.21,0.9168,0.5418,13,1,0
PAY_000004,CUS_0323,16005.67,card_declined,card,1,92223.72,0.9303,0.8256,20,4,0
PAY_000005,CUS_0395,6077.91,network_error,card,1,84947.78,0.8077,0.8596,19,3,0
PAY_000006,CUS_0655,53186.91,insufficient_funds,upi,2,175534.74,0.9067,0.7175,20,6,0
PAY_000007,CUS_0836,13536.27,expired_method,card,1,250931.46,0.869,0.9475,21,0,0
PAY_000008,CUS_0022,20304.12,network_error,card,1,280199.11,0.8038,0.6761,7,1,1
PAY_000009,CUS_0675,15637.42,card_declined,upi,0,204904.12,0.8614,0.6669,19,1,1
PAY_000010,CUS_0078,11337.12,network_error,upi,2,315059.55,0.8041,0.6873,10,1,0
PAY_000011,CUS_0400,7608.99,renewal_failed,upi,0,319776.13,0.6729,0.759,5,3,1
PAY_000012,CUS_0521,3003.87,network_error,netbanking,1,306683.1,0.8915,0.7133,19,1,1
PAY_000013,CUS_0322,6582.77,renewal_failed,upi,2,81383.62,0.8399,0.7222,21,1,0
PAY_000014,CUS_0557,7379.39,expired_method,wallet,1,242581.72,0.8989,0.4559,13,1,0
PAY_000015,CUS_0501,27429.05,renewal_failed,upi,2,181035.91,0.7285,0.7567,18,6,0
PAY_000016,CUS_0374,10272.12,expired_method,card,2,180124.29,0.9313,0.6976,7,1,1
PAY_000017,CUS_0802,7862.05,insufficient_funds,netbanking,2,283850.03,0.9027,0.6919,2,5,0
PAY_000018,CUS_0792,2965.54,insufficient_funds,wallet,2,275881.09,0.7975,0.9523,11,6,1
PAY_000019,CUS_0533,5735.8,network_error,netbanking,3,43986.63,0.6667,0.7861,9,5,0
PAY_000020,CUS_0431,47356.35,card_declined,netbanking,1,304048.84,0.8467,0.7752,18,4,1
PAY_000021,CUS_0675,19236.84,card_declined,netbanking,1,268122.25,0.6899,0.6132,19,6,0
PAY_000022,CUS_0507,4121.55,renewal_failed,netbanking,0,305023.89,0.935,0.7645,17,5,0
PAY_000023,CUS_0628,11366.66,insufficient_funds,upi,2,76278.43,0.8671,0.6087,11,6,0
PAY_000024,CUS_0554,4539.55,network_error,card,2,156098.42,0.7475,0.808,10,2,0
PAY_000025,CUS_0361,11053.71,card_declined,upi,1,111234.99,0.6891,0.9545,17,3,1
PAY_000026,CUS_0679,8492.29,network_error,card,1,93155.82,0.7712,0.5351,16,3,0
PAY_000027,CUS_0668,5277.46,insufficient_funds,netbanking,1,74038.01,0.8351,0.7897,12,5,1
PAY_000028,CUS_0385,1544.85,renewal_failed,card,1,155751.05,0.7702,0.7681,20,4,0
PAY_000029,CUS_0431,8121.84,insufficient_funds,card,0,249014.04,0.9405,0.8085,16,2,1
PAY_000030,CUS_0089,21907.2,expired_method,wallet,2,143871.99,0.8985,0.757,10,6,1
PAY_000031,CUS_0738,7689.04,network_error,wallet,1,162223.63,0.8412,0.4613,16,1,1
PAY_000032,CUS_0361,10009.61,card_declined,wallet,1,161136.26,0.9138,0.6937,14,5,0
PAY_000033,CUS_0199,19571.95,expired_method,card,0,68086.3,0.6537,0.5538,16,2,0
PAY_000034,CUS_0842,8625.4,expired_method,upi,2,47493.88,0.7534,0.7384,9,6,0
PAY_000035,CUS_0313,4131.14,renewal_failed,upi,0,261076.33,0.8144,0.7898,10,4,0
PAY_000036,CUS_0465,14768.11,insufficient_funds,card,1,90569.59,0.7271,0.7189,10,2,0
PAY_000037,CUS_0279,6199.79,expired_method,card,1,177903.46,0.9153,0.8411,18,5,0
PAY_000038,CUS_0775,13376.84,insufficient_funds,upi,2,237174.58,0.897,0.9599,19,4,1
PAY_000039,CUS_0038,5288.56,network_error,netbanking,1,190622.84,0.9355,0.6074,21,6,0
PAY_000040,CUS_0274,12204.45,expired_method,upi,3,134102.62,0.779,0.7584,17,6,1
PAY_000041,CUS_0299,33994.41,network_error,wallet,0,311621.81,0.9147,0.751,19,3,0
PAY_000042,CUS_0003,13585.5,network_error,wallet,1,179994.7,0.8076,0.7039,21,4,1
PAY_000043,CUS_0723,8735.15,renewal_failed,wallet,2,147322.79,0.7322,0.8669,14,2,0
PAY_000044,CUS_0666,33422.46,card_declined,wallet,3,47388.84,0.8911,0.9308,10,4,0
PAY_000045,CUS_0721,5665.54,renewal_failed,wallet,3,203561.34,0.8658,0.7469,6,0,0
PAY_000046,CUS_0510,33494.54,expired_method,upi,0,256396.76,0.8969,0.853,20,4,0
